scenario,context,teacher_source,decision_ordinal,task_decision_ordinal,segment_id,task_id,current,next_label,goal,ready_time,route_suffix,label_kind,label_source,fault_state,repair_state,constraint_summary,candidate_next_nodes,safe_next_nodes,label_in_candidate,label_in_safe_mask,label_block_reason,executed_next,executed_kind,replay_action
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,195,8,84:storage_in,84,18,22,47,13072.0454,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,18,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,197,6,80:storage_in,80,13,23,47,13072.361780000001,13 23 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,23,,True,False,merge_group,13,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,199,4,91:storage_in,91,4,17,47,13072.4367,4 17 18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,17,,True,False,edge_capacity,4,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,200,4,85:storage_in,85,11,13,47,13072.70649,11 13 23 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,13 14,14,True,False,edge_capacity,11,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,201,9,84:storage_in,84,18,22,47,13073.0454,18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,22,,True,False,edge_capacity+merge_group,,none,mark_unplanned
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,202,7,80:storage_in,80,13,23,47,13073.361780000001,13 23 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,23,,True,False,merge_group,,none,mark_unplanned
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,204,3,89:storage_in,89,17,18,47,13073.445380000001,17 18 22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,18,,True,False,edge_capacity,17,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,205,5,85:storage_in,85,11,13,47,13073.70649,11 13 23 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,13 14,14,True,False,edge_capacity,11,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,208,5,82:storage_in,82,22,24,47,13074.659440000001,22 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,24 26,26,True,False,edge_capacity,22,hold,shield_hold
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,211,6,78:storage_in,78,13,23,47,13075.04994,13 23 24 27 28 47,move,python_faithful_legacy_astar,none,none,fault_edges=none|fault_windows=none|node_capacities=none|merge_groups=13->23:9;18->22:9,23,,True,False,merge_group,13,hold,shield_hold
